Country,City,Title,Price,Cleanliness,Accuracy,Check-in,Communication,Value,Bathroom,Bedroom and laundry,Entertainment,Heating and cooling,Privacy and safety,Internet and office,Kitchen and dining,Parking and facilities,Services
Czech Republic,Brno,"Cozy, new apartment in the center of Brno with air conditioning.",,,,,,,"Hair dryer, Cleaning products, Shampoo, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Drying rack for clothing, Clothing storage: dresser",HDTV with Apple TV,"Air conditioning, Central heating",0,"Fast wifi – 626 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a private space with a surge protector","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, Oven, Hot water kettle, Wine glasses, Toaster, Baking sheet, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid street parking off premises","Pets allowed
Assistance animals are always allowed, Long term stays allowed
Allow stay for 28 days or more, Housekeeping available 3 hours a day, 1 day a week - available at extra cost, Host greets you"
Czech Republic,Brno,Life in the Clouds *'*'*'*'*,327,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Egyptian cotton cotton satin linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet","28 inch HDTV with Netflix, Books and reading material, Theme room
A room or multiple spaces that are designed to follow the same theme","Central air conditioning, Portable fans, Central heating",0,"Fast wifi – 343 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a common space","Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Dishwasher, Whirlpool electric stove, Hot water kettle, Coffee maker: french press, Nespresso, Wine glasses, Kitchenette
Space where guests can heat up and refrigerate food, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox, Housekeeping available from 8:00 AM to 4:00 PM, every day - available at extra cost"
Czech Republic,Brno,Quiet apartment close to the center,,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Clothing storage",Books and reading material,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Wine glasses, Dining table",0,"Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Czech Republic,Brno,Flat near Brno with terrace and parking,532,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage",HDTV with Netflix,Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other electric stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet, Dining table, Coffee","Free parking on premises, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Brno,Big room near the city center,208,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet and dresser","Climbing wall, Books and reading material","Portable fans, Heating",0,"Wifi, Dedicated workspace
In a private space with a desk and office chair","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table",Paid parking on premises,Host greets you
Czech Republic,Brno,Luxusní apartmán v centru Brna,444,,,,,,"Hair dryer, Cleaning products, Dove shampoo, Dove body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet",TV,"Central air conditioning, Radiant heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: Nespresso, Baking sheet, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking lot on premises – 10 spaces","Cleaning available during stay, Host greets you"
Czech Republic,Brno,Studio Arkáda s terasou,604,,,,,,"Bathtub, Hair dryer, Cleaning products, Body soap, Hot water","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens
Cotton linens, Iron, Drying rack for clothing",0,Central heating,0,"Wifi, Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Dishwasher, Whirlpool electric stove, Oven, Hot water kettle, Coffee maker, Wine glasses",0,Host greets you
Czech Republic,Brno,Sunny apartment with amazing view,582,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Mosquito net, Clothing storage: closet and dresser","TV, Books and reading material","Air conditioning, Central heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Induction stove, Single oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Baking sheet, Blender, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Brno,Ap | Coffee | Netflix | Balcony,391,,,,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet",HDTV with Netflix,"Portable fans, Central heating",0,"Fast wifi – 160 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Other induction stove, Hot water kettle, Coffee maker: french press, Nespresso, Wine glasses, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid street parking off premises, Paid parking lot on premises","Pets allowed
Assistance animals are always allowed, Self check-in, Smart lock"
Czech Republic,Brno,Modern apartment with free garage parking & AC,428,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage: wardrobe","46 inch HDTV with Chromecast, standard cable","Air conditioning, Heating",0,"Fast wifi – 104 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices.","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Induction stove, Oven, Hot water kettle, Wine glasses, Baking sheet, Dining table, Coffee","Free parking on premises – 1 space, Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking garage on premises – 1 space",Host greets you
Czech Republic,Ostrava,BM apartment,540,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Hangers, Bed linens, Room-darkening shades, Clothing storage: closet","TV, Harman kardon sound system with Bluetooth and aux, Books and reading material",Central heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Other induction stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet, Dining table, Coffee","Free parking on premises, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more"
Czech Republic,Ostrava,Byt v centro Ostravy,,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage",TV,"Portable air conditioning, Portable fans, Central heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other stove, Oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Toaster, Baking sheet","Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Single level home
No stairs in home","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Housekeeping available from 3:30 PM to 10:00 PM, every day - available at extra cost"
Czech Republic,Ostrava,Cozy apartment in a quiet location,324,,,,,,"Bathtub, Hair dryer, Hot water","Washer, Hangers, Room-darkening shades, Drying rack for clothing",TV,Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Beko refrigerator, Other induction stove, Hot water kettle, Wine glasses, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",0
Czech Republic,Ostrava,Apartment in the courtyard,394,,,,,,"Hair dryer, Cleaning products, Hot water","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: closet",TV,Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc.",0,Host greets you
Czech Republic,Ostrava,"Ostrava, Komenského sady, apartment 180m2 and villas",267,,,,,,"Bathtub, Hair dryer, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Iron, Clothing storage: closet",TV,Central heating,0,"Wifi, Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, A refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Electrolux electric stove, Oven, Hot water kettle, Coffee maker: espresso machine, Baking sheet, Dining table","Free parking on premises, Free street parking","Self check-in, Lockbox"
Czech Republic,Ostrava,Stylish Suite near Park • 2 BR + Open Living Space,342,,,8/30/2025,,,"Bathtub, Hair dryer, Shampoo, Hot water, Shower gel","Washer, Hangers, Bed linens, Iron, Drying rack for clothing, Clothing storage: closet",TV,Central heating,0,Dedicated workspace,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Wine glasses, Baking sheet, Dining table","Free parking on premises, Free street parking, Hot tub, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Pets allowed
Assistance animals are always allowed, Host greets you"
Czech Republic,Ostrava,Apartment penthouse Main square,,,,,,,0,Washer,0,0,0,Wifi,"Kitchen
Space where guests can cook their own meals","Free parking on premises, Paid parking on premises","Self check-in, Lockbox"
Czech Republic,Ostrava,Comfortable and cozy apartment in the city center.,248,,,,,,"Hair dryer, Shampoo, Hot water","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Iron",TV,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Stove, Oven, Coffee maker",0,"Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Czech Republic,Ostrava,Ostrava - 2-room apartment with parking,273,,,,,,"Body soap, Hot water, Shower gel","Washer, Hangers, Bed linens, Clothing storage",TV,Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet",Free parking on premises,"Self check-in, Lockbox"
Czech Republic,Ostrava,"Ostrava - Slezská, apartment 2/kk parking in the courtyard",277,,,,,,"Hair dryer, Cleaning products, W shampoo, W body soap, Hot water, Shower gel","Washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Iron, Clothing storage: closet",HDTV with Netflix,Central heating,0,"Wifi, Dedicated workspace
In a private space with an ergonomic chair","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other electric stove, Oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Baking sheet, Dining table",Free parking on premises – 6 spaces,"Self check-in, Lockbox"
Czech Republic,Ostrava,Garden Studio in Center with Parking (Karolina),,,,,,,"Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Hangers, Bed linens
Cotton linens, Iron, Drying rack for clothing, Clothing storage",TV,Central heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Induction stove, Oven, Hot water kettle, Wine glasses, Dining table","Free parking on premises, Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking garage on premises – 1 space","Self check-in, Lockbox, Cleaning available during stay"
Czech Republic,Ostrava,Cozy apartment near downtown,324,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Room-darkening shades, Drying rack for clothing, Clothing storage",0,Radiant heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Siguro induction stove, Hot water kettle","Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",Host greets you
Czech Republic,Ostrava,Apartment in a top location in Bazaly.,308,,,,,,"Hair dryer, Hot water","Washer, Hangers, Bed linens, Room-darkening shades, Drying rack for clothing, Clothing storage: closet",HDTV with Netflix,"Portable fans, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Hot water kettle, Wine glasses, Toaster",Free parking on premises,0
Czech Republic,Ostrava,Rezidence Mahenova 1,429,,,8/29/2025,,,"Bathtub, Cleaning products, Body soap, Hot water, Shower gel","Washer, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Clothing storage",TV,0,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stove, Oven, Hot water kettle, Wine glasses, Toaster, Coffee",0,"Pets allowed
Assistance animals are always allowed"
Czech Republic,Ostrava,Spacious apartment in the center of Ostrava,,,,8/24/2025,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Mosquito net, Clothing storage: wardrobe and dresser","HDTV with Amazon Prime Video, Netflix, Piano","Central air conditioning, Central heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Bosch induction stove, Oven, Hot water kettle, Coffee maker: french press, Nespresso, Wine glasses, Baking sheet, Blender, Dining table, Coffee",0,"Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Czech Republic,Ostrava,OLIVA apartmán se snídaní v Ollies,469,,,,,,"Hair dryer, Body soap, Hot water, Shower gel","Bed linens, Room-darkening shades, Clothing storage",0,Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Dishwasher, Other induction stove, Single oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Baking sheet, Dining table, Coffee","Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Breakfast
Breakfast is provided, Long term stays allowed
Allow stay for 28 days or more"
Czech Republic,Ostrava,BM studio apartments,529,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens
Cotton linens, Extra pillows and blankets, Iron, Clothing storage: dresser",TV,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, Single oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Toaster, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Ostrava,Nice apartment,351,,,8/22/2025,,,0,Washer,TV,0,First aid kit,Wifi,"Kitchen
Space where guests can cook their own meals",Free parking on premises,"Pets allowed
Assistance animals are always allowed"
Czech Republic,Pilsen,A well-equipped and cozy apartment in Pilsen,418,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: closet and dresser","TV, Books and reading material",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Dishwasher, Other induction stove, Oven, Hot water kettle, Coffee maker: espresso machine, Wine glasses, Toaster, Baking sheet, Blender, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid street parking off premises","Self check-in, Lockbox"
Czech Republic,Pilsen,NEW Cozy studio in the city heart,360,,,8/31/2025,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage","TV, Sound system, Exercise equipment, Books and reading material",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Stove, Hot water kettle, Coffee maker, Wine glasses, Coffee",Paid parking on premises,"Self check-in, Lockbox"
Czech Republic,Pilsen,"Cozy, equipped, new apartment with garage in the center of Pilsen",471,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: wardrobe","TV, Books and reading material",Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Dining table, Coffee","Free parking on premises, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Self check-in, Lockbox"
Czech Republic,Pilsen,Accommodation Skrétovka,361,,,8/21/2025,,,0,Hangers,0,0,0,Wifi,0,0,"Self check-in, Smart lock"
Czech Republic,Pilsen,NEW Quiet apartment in the heart of the city,377,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","Ethernet connection, TV, Sound system, Exercise equipment, Books and reading material",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stove, Hot water kettle, Coffee maker, Wine glasses, Dining table, Coffee",Paid parking garage on premises,"Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Breakfast
Breakfast is provided, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Pilsen,Apartmán Valcha,413,,,,,,"Bathtub, Hair dryer, Cleaning products, Hot water, Shower gel",Washer,TV,Heating,0,0,"Kitchen
Space where guests can cook their own meals",Free parking on premises,0
Czech Republic,Pilsen,Riverside Studio in Center + Parking,444,,,,,,"Hair dryer, Hot water, Shower gel","Washer, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing",0,"Air conditioning, Ceiling fan, Central heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Other stove, Oven, Hot water kettle, Wine glasses, Toaster, Baking sheet, Dining table","Free parking on premises, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Pilsen,Pilsen center within reach 15. (2 beds + 1 extra bed),284,,,,,,"Hair dryer, Hot water","Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Iron",TV,Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Other electric stove, Oven, Wine glasses, Dining table, Coffee",Paid parking on premises,"Pets allowed
Assistance animals are always allowed, Long term stays allowed
Allow stay for 28 days or more"
Czech Republic,Pilsen,Cosy Apartment near Lobzy Park,388,,,,,,"Bathtub, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Drying rack for clothing, Clothing storage: closet and dresser","Ethernet connection, HDTV with Netflix, Chromecast, Books and reading material",Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Dining table",Free street parking,"Self check-in, Lockbox"
Czech Republic,Pilsen,"Cozy studio near center and nature, w/huge terrace",424,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet and dresser","Ethernet connection, 55 inch HDTV with Netflix, Sound system with Bluetooth and aux, Game console, Exercise equipment: free weights, yoga mat, Books and reading material",Central heating,0,"Fast wifi – 71 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Electric stove, Stainless steel oven, Hot water kettle, Coffee maker: drip coffee maker, espresso machine, french press, Wine glasses, Toaster, Baking sheet, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Free street parking, Paid parking on premises","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Breakfast
Breakfast is provided, Long term stays allowed
Allow stay for 28 days or more, Host greets you"
Czech Republic,Pilsen,Beautiful new apartment near to downtown,394,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","TV with standard cable, Exercise equipment, Books and reading material","Portable fans, Heating",0,"Fast wifi – 67 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Electric stove, Hot water kettle, Wine glasses, Toaster, Blender, Dining table","Free parking on premises, Free street parking, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Pets allowed
Assistance animals are always allowed, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Czech Republic,Pilsen,Cozy apartment in city center,335,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Drying rack for clothing, Clothing storage",HDTV with Netflix,Heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet, Dining table",0,"Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
